0.25,8.484e-05
0.50,1.703e-04
0.75,2.513e-04
1.00,3.400e-04
1.25,4.229e-04
1.50,5.045e-04
1.75,5.958e-04
2.00,6.801e-04
2.25,7.630e-04
2.50,8.510e-04
2.75,9.268e-04
3.00,1.014e-03
3.25,1.099e-03
3.50,1.189e-03
3.75,1.260e-03
4.00,1.358e-03
4.25,1.440e-03
4.50,1.524e-03
4.75,1.609e-03
5.00,1.686e-03
5.25,1.776e-03
5.50,1.870e-03
5.75,1.940e-03
6.00,2.029e-03
6.25,2.106e-03
6.50,2.179e-03
6.75,2.276e-03
7.00,2.371e-03
7.25,2.445e-03
7.50,2.528e-03
7.75,2.599e-03
8.00,2.661e-03
8.25,2.783e-03
8.50,2.865e-03
8.75,2.952e-03
9.00,3.030e-03
9.25,3.143e-03
9.50,3.207e-03
9.75,3.270e-03
10.00,3.341e-03
10.25,3.449e-03
10.50,3.511e-03
10.75,3.641e-03
11.00,3.713e-03
11.25,3.781e-03
11.50,3.893e-03
11.75,3.907e-03
12.00,4.036e-03
12.25,4.117e-03
12.50,4.212e-03
12.75,4.260e-03
13.00,4.373e-03
13.25,4.406e-03
13.50,4.529e-03
13.75,4.558e-03
14.00,4.702e-03
14.25,4.774e-03
14.50,4.864e-03
14.75,4.912e-03
15.00,4.991e-03
